x,y,z
1.53,0.0632,2.24e-10
1.29,0.237,0.05
1.39,0.246,0.01
1.39,0.284,-0.01
1.27,0.183,-0.02
1.16,0.0672,-0.02
1.22,0.216,0
1.31,0.096,-0.01
1.33,0.178,0.002
1.53,0.296,0
0.981,0.106,-2.24e-10
1.25,0.223,2.24e-10
1.54,0.216,0
1.07,0.0369,-0.02
1.02,0.261,-0.01
1.03,0.207,0
1.27,0.18,-0.01
1.26,-0.0165,0
1.46,0.159,-0.01
1.47,0.173,0
1.61,0.127,0
1.33,0.22,-0.01
1.8,0.385,0
1.72,0.337,0.06
1.06,0.06,0.003
1.42,0.174,-0.01
1.7,0.29,0
1.25,0.175,-0.02
0.733,0.0376,0
0.985,0.163,0
1.06,0.12,-0.02
0.907,0.0292,-0.01
1.26,0.211,-0.01
0.907,0.0185,0
1.5,0.343,-0.02
1.66,0.086,0.01
1.64,0.097,-0.01
1.46,0.279,-0.02
1.38,0.106,-0.02
0.984,0.139,0
1.63,0.36,-0.01
1.03,0.139,0
0.796,0.13,-0.02
1.65,0.12,0.004
1.22,0.245,0
1.64,0.114,0
1.09,0.0484,-0.01
0.94,0.076,-0.01
1,0.182,2.24e-10
0.873,0.1,0
0.944,0.108,0
1.2,0.342,0
1.05,0.313,-0.02
1.03,0.192,0
1.38,0.304,-0.01
1.44,0.346,0.01
1.27,0.22,0.01
0.77,0.068,0
0.989,0.192,2.24e-10
0.965,0.192,2.24e-10
1.64,0.1135942,0
1.31,0.0131,0
1.37,0.206,0.005
0.911,0.0714,0
1.55,0.337,-0.01
1.02,0.148,-0.02
1.67,0.251,0
1.69,0.211,-0.005
1.02,0.129,-0.01
1.57,0.0676,0
1.56,0.256,-0.02
1.43,0.0632,0.01
1.26,0.15,0
1.06,0.39,-0.01
1.7,0.301,0.02
0.889,0.0427,-0.01
1.52,0.0857,0.01
1.12,0.0373,0
1.75,0.271,0
0.457,0.136,-0.01
0.983,0.271,0.02
1.11,0.0569,0
1.39,0.268,0
1.27,0.227,0
1.02,0.0204,-2.24e-10
1.05,0.275,-0.01
2.05,-0.0084,0
1.03,0.264,0.01
1.03,0.267,0
1.14,0.064,0
0.99,0.161,-0.02
1.44,0.0588,2.24e-10
1.7,0.3,0.05
1.55,0.246,-0.04
0.981,0.221,0.01
1,0.202,-0.01
